idx,date,week,day,time,id,step,loc
120,08월 24일,1,5,14:30,,,강남
121,08월 24일,1,5,15:00,,,강남
122,08월 24일,1,5,15:30,,,강남
123,08월 24일,1,5,16:00,,,강남
124,08월 24일,1,5,16:30,,,강남
125,08월 24일,1,5,17:00,,,강남
126,08월 24일,1,5,17:30,,,강남
127,08월 24일,1,5,18:00,,,강남
128,08월 24일,1,5,18:30,,,강남
129,08월 24일,1,5,19:00,,,강남
130,08월 24일,1,5,19:30,,,강남
131,08월 24일,1,5,20:00,,,강남
132,08월 24일,1,5,20:30,,,강남
133,08월 24일,1,5,21:00,,,강남
134,08월 24일,1,5,21:30,,,강남
135,08월 24일,1,5,22:00,,,강남
136,08월 25일,1,6,9:00,아침수업,,강남
137,08월 25일,1,6,9:30,아침수업,,강남
138,08월 25일,1,6,10:00,아침수업,,강남
139,08월 25일,1,6,10:30,아침수업,,강남
140,08월 25일,1,6,11:00,아침수업,,강남
141,08월 25일,1,6,11:30,아침수업,,강남
142,08월 25일,1,6,12:00,아침수업,,강남
143,08월 25일,1,6,12:30,아침수업,,강남
144,08월 25일,1,6,13:00,아침수업,,강남
145,08월 25일,1,6,13:30,아침수업,,강남
146,08월 25일,1,6,14:00,,,강남
147,08월 25일,1,6,14:30,,,강남
148,08월 25일,1,6,15:00,,,강남
149,08월 25일,1,6,15:30,,,강남
150,08월 25일,1,6,16:00,,,강남
151,08월 25일,1,6,16:30,,,강남
152,08월 25일,1,6,17:00,,,강남
153,08월 25일,1,6,17:30,,,강남
154,08월 25일,1,6,18:00,,,강남
155,08월 25일,1,6,18:30,,,강남
156,08월 25일,1,6,19:00,,,강남
157,08월 25일,1,6,19:30,,,강남
158,08월 25일,1,6,20:00,,,강남
159,08월 25일,1,6,20:30,,,강남
160,08월 25일,1,6,21:00,,,강남
161,08월 25일,1,6,21:30,,,강남
162,08월 25일,1,6,22:00,,,강남
163,08월 26일,1,7,9:00,아침수업,,강남
164,08월 26일,1,7,9:30,아침수업,,강남
165,08월 26일,1,7,10:00,아침수업,,강남
166,08월 26일,1,7,10:30,아침수업,,강남
167,08월 26일,1,7,11:00,아침수업,,강남
168,08월 26일,1,7,11:30,아침수업,,강남
169,08월 26일,1,7,12:00,아침수업,,강남
170,08월 26일,1,7,12:30,아침수업,,강남
171,08월 26일,1,7,13:00,아침수업,,강남
172,08월 26일,1,7,13:30,아침수업,,강남
173,08월 26일,1,7,14:00,,,강남
174,08월 26일,1,7,14:30,,,강남
175,08월 26일,1,7,15:00,,,강남
176,08월 26일,1,7,15:30,,,강남
177,08월 26일,1,7,16:00,,,강남
178,08월 26일,1,7,16:30,,,강남
179,08월 26일,1,7,17:00,,,강남
180,08월 26일,1,7,17:30,,,강남
181,08월 26일,1,7,18:00,,,강남
182,08월 26일,1,7,18:30,,,강남
183,08월 26일,1,7,19:00,,,강남
184,08월 26일,1,7,19:30,,,강남
185,08월 26일,1,7,20:00,,,강남
186,08월 26일,1,7,20:30,,,강남
187,08월 26일,1,7,21:00,,,강남
188,08월 26일,1,7,21:30,,,강남
189,08월 26일,1,7,22:00,,,강남
190,08월 27일,2,1,9:00,아침수업,,신촌
191,08월 27일,2,1,9:30,아침수업,,신촌
192,08월 27일,2,1,10:00,아침수업,,신촌
193,08월 27일,2,1,10:30,아침수업,,신촌
194,08월 27일,2,1,11:00,아침수업,,신촌
195,08월 27일,2,1,11:30,아침수업,,신촌
196,08월 27일,2,1,12:00,아침수업,,신촌
197,08월 27일,2,1,12:30,아침수업,,신촌
198,08월 27일,2,1,13:00,아침수업,,신촌
199,08월 27일,2,1,13:30,아침수업,,신촌
200,08월 27일,2,1,14:00,,,신촌
201,08월 27일,2,1,14:30,,,신촌
202,08월 27일,2,1,15:00,,,신촌
203,08월 27일,2,1,15:30,,,신촌
204,08월 27일,2,1,16:00,,,신촌
205,08월 27일,2,1,16:30,,,신촌
206,08월 27일,2,1,17:00,,,신촌
207,08월 27일,2,1,17:30,,,신촌
208,08월 27일,2,1,18:00,,,신촌
209,08월 27일,2,1,18:30,저녁수업,,신촌
